WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  LAUN    TXFR                                            
the                     20     1     3     3    29  1231   188     3     3   -17    3511
causes                  20     1     6     6    36  1232   228     6     6    -7       6
surge                   20     1     5     5    47  1235   214     3     3   -11       1
past                    20     1     4     4    57  1238   205     0     0   -10      27
three                   20     1     5     5    64  1239   287     2     2    -7      28
weeks                   20     1     5     5    68  1240   186     0     0    -4      15
have                    20     1     4     4    75  1241   158     1     1    -7     361
baffled                 20     2     7     7     4  1242   269     4     4   -99       1
who                     20     2     3     3    17  1244   176     3     3   -13     157
know,                   20     2     5     4    24  1246   199     0     0    -7      31
underlying              20     2    10    10    37  1248   197     3     3   -13       3
underlying              20     2    10    10    43  1248   204     9     9    -6       3
trend,                  20     2     6     5    48  1249   403     3     3    -5       5
rise                    20     2     4     4    57  1251   213     3     3    -9       7
number                  20     2     6     6    66  1254   216     0     0    -9      18
the                     20     2     3     3    64  1253   142     2     2     2    3511
number                  20     2     6     6    71  1254    91     5     5    -7      18
prisoners               20     3     9     9     7  1256   193     7     7   -99       8
5,000                   20     3     5     4    17  1258   225     4     4   -10     -99
since                   20     3     5     5    23  1259   237     4     4    -6      32
last                    20     3     4     4    36  1262   222     1     1   -13      73
year,                   20     3     5     4    43  1263   234     3     3    -7      51
utterly                 20     3     7     7    53  1265    84     4     4   -10       5
utterly                 20     3     7     7    55  1265   142     6     6    -2       5
and                     20     3     3     3    72  1267   159     3     3   -17    1283
utterly                 20     3     7     7    51  1265   216     2     2    21       5
explicable,             20     3    11    10    60  1266   437     3     3    -9       1
indeed                  20     3     6     6    75  1268   169     2     2   -15      26
predicted.              20     4    10     9     8  1270   152     4     4   -99       2
predicted.              20     4    10     9     5  1270   163     1     1     3       2
policy                  20     4     6     6    26  1272   232     0     0   -21      23
the                     20     4     3     3    36  1274   190     0     0   -10    3511
has                     20     4     3     3    46  1276   181     3     3   -10     239
uphill                  20     4     6     6    58  1279   274     3     3   -12       1
slalom                  20     4     6     6    64  1280   181     2     2    -6       1
for                     20     4     3     3    72  1281   182     3     3    -8     519
half-century.           20     5    13    12     8  1284   197     3     3   -99     -99
past                    20     5     4     4     4  1283   251     4     4     4      27
Politicians,            20     5    12    11    26  1285   268     7     7   -22      14
under                   20     5     5     5    36  1286   232     4     4   -10      32
pressure                20     5     8     8    44  1287   160     6     6    -8       8
something               20     5     9     9    53  1290   218     0     0    -9      29
about                   20     5     5     5    65  1291   201     2     2   -12     164
crime,                  20     5     6     5    72  1292   164     3     3    -7      13
pass                    20     5     4     4    76  1293   256     0     0    -4       5
*Off-screen             21   -99     4     4   -99   -99   184   -99   -99   -99     -99
laws                    21     1     4     4     2  1294   150     2     2   -99       5
write                   21     1     5     5    14  1296   105     5     5   -12      10
*Blink                  21   -99     5     5   -99   -99    92   -99   -99   -99     -99
laws                    21     1     4     4     3  1294   473     3     3   -99       5
write                   21     1     5     5    13  1296   220     4     4   -10      10
guidelines              21     1    10    10    24  1297   176     9     9   -11       4
requiring               21     1     9     9    32  1298   198     6     6    -8       1
criminals               21     1     9     9    44  1300   259     3     3   -12       9
imprisoned              21     1    10    10    58  1303   252     1     1   -14       1
for                     21     1     3     3    70  1304   170     2     2   -12     519
crimes                  21     2     6     6     3  1306   229     3     3   -99       6
longer.                 21     2     7     6    17  1308   161     6     6   -14      14
now                     21     2     3     3    26  1310   185     1     1    -9     107
however,                21     2     8     7    39  1313   151     0     0   -13      38
there                   21     2     5     5    50  1314   336     2     2   -11     189
a                       21     2     1     1    58  1316   270     1     1    -8    1434
crisis                  21     2     6     6    65  1317   204     6     6    -7      11
the                     21     2     3     3    70  1319   166     1     1    -5    3511
the                     21     2     3     3    72  1319    94     3     3    -2    3511
our                     21     3     3     3     4  1322   248     1     1   -99      84
begin                   21     3     5     5    18  1324   201     3     3   -14       6
under                   21     3     5     5    29  1327   239     1     1   -11      32
weight                  21     3     6     6    38  1329   184     0     0    -9       7
numbers                 21     3     7     7    49  1331   123     1     1   -11       6
bow                     21     3     3     3    24  1326   500     0     0    25       3
of                      21     3     2     2    45  1330   198     0     0   -21    1757
numbers                 21     3     7     7    52  1331   205     4     4    -7       6
contained               21     3     9     9    60  1332   163     4     4    -8       4
therein.                21     3     8     7    66  1333   195     0     0    -6       1
*Blink                  21   -99     8     7   -99   -99    79   -99   -99   -99     -99
Politicians             21     4    11    11     8  1334   159     8     8   -99      14
scrabble                21     4     8     8    19  1336   218     2     2   -11       1
around                  21     4     6     6    28  1337   149     2     2    -9      31
'tough'                 21     4     7     5    39  1339   257     2     1   -11       6
alternatives            21     4    12    12    46  1340   208     1     1    -7       2
alternatives            21     4    12    12    52  1340   143     7     7    -6       2
to                      21     4     2     2    60  1341   263     2     2    -8    1597
which                   21     4     5     5    68  1343   170     1     1    -8     152
which                   21     4     5     5    70  1343   118     3     3    -2     152
sell                    21     5     4     4    10  1347   299     3     3   -99       7
sceptical               21     5     9     9    21  1350   274     4     4   -11       3
sceptical               21     5     9     9    17  1350   168     0     0     4       3
educated                21     5     8     8    37  1352   232     2     2   -20       2
only                    21     5     4     4    47  1353   166     3     3   -10      97
simple                  21     5     6     6    56  1356   199     2     2    -9       6
lock-'em-up             21     5    11    11    62  1357   259     1     1    -6     -99
lock-'em-up             21     5    11    11    66  1357   201     5     5    -4     -99
lock-'em-up             21     5    11    11    71  1357   171    10    10    -5     -99
logic                   21     5     5     5    74  1358   581     1     1    -3       3
*Off-screen             22   -99     5     5   -99   -99   149   -99   -99   -99     -99
that                    22     1     4     4     4  1359   254     4     4   -99     871
reached                 22     1     7     7    11  1360   316     6     6    -7       5
conclusion              22     1    10    10    21  1362   212     4     4   -10       7
the                     22     1     3     3    31  1364   112     0     0   -10    3511
*Blink                  22   -99     3     3   -99   -99   100   -99   -99   -99     -99
bone-jarring            22     1    12    12    39  1365   348     4     4   -99     -99
bone-jarring            22     1    12    12    42  1365   189     7     7    -3     -99
stupidity               22     1     9     9    51  1366   261     3     3    -9       1
Michael                 22     1     7     7    63  1368   233     2     2   -12       4
Howard's                22     1     8     8    71  1369   181     2     2    -8     -99
'prison                 22     2     7     6     5  1370   199     5     4   -99      23
works'                  22     2     6     5    11  1371   316     3     3    -6       8
slogan.                 22     2     7     6    18  1372   494     3     3    -7       1
prison-building         22     2    15    15    30  1374   213     3     3   -12     -99
prison-building         22     2    15    15    35  1374   238     8     8    -5     -99
programme               22     2     9     9    43  1375   277     0     0    -8       8
programme               22     2     9     9    48  1375   286     5     5    -5       8
then                    22     2     4     4    55  1376   178     2     2    -7      71
prison-building         22     2    15    15    34  1374   313     7     7    21     -99
prison-building         22     2    15    15    40  1374    51    13    13    -6     -99
programme               22     2     9     9    50  1375   125     7     7   -10       8
then                    22     2     4     4    54  1376   226     1     1    -4      71
catches                 22     2     7     7    61  1377   230     3     3    -7       1
catches                 22     2     7     7    65  1377   147     7     7    -4       1
with                    22     2     4     4    71  1379   172     2     2    -6     393
population,             22     3    11    10     7  1382   278     0     0   -99      11
resume                  22     3     6     6    26  1385   275     0     0   -19       1
resume                  22     3     6     6    32  1385   120     6     6    -6       1
the                     22     3     3     3    34  1386   300     1     1    -2    3511
which                   22     3     5     5    47  1388   175     2     2   -13     152
us                      22     3     2     2    61  1391   167     0     0   -14      86
least                   22     3     5     5    70  1393   206     2     2    -9      26
zig-zag                 22     3     7     7    40  1387   211     3     3    30     -99
zig-zag                 22     3     7     7    37  1387   214     0     0     3     -99
which                   22     3     5     5    48  1388   200     3     3   -11     152
given                   22     3     5     5    55  1390    95     0     0    -7      20
*Blink                  22   -99     5     5   -99   -99   201   -99   -99   -99     -99
resume                  22     3     6     6    29  1385   490     3     3   -99       1
the                     22     3     3     3    34  1386   248     1     1    -5    3511
zig-zag                 22     3     7     7    40  1387   175     3     3    -6     -99
which                   22     3     5     5    48  1388   169     3     3    -8     152
given                   22     3     5     5    60  1390   264     5     5   -12      20
the                     22     3     3     3    65  1392   165     1     1    -5    3511
least                   22     3     5     5    68  1393   220     0     0    -3      26
successful              22     4    10    10     5  1394   250     5     5   -99      15
prison                  22     4     6     6    15  1395   264     4     4   -10      23
policy                  22     4     6     6    22  1396   280     4     4    -7      23
Europe.                 22     4     7     6    29  1398   191     1     1    -7      18
election                22     4     8     8    50  1400   279     6     6   -21       5
The                     22     4     3     3    43  1399   226     3     3     7    3511
of                      22     4     2     2    54  1401   182     1     1   -11    1757
a                       22     4     1     1    57  1402    88     1     1    -3    1434
committed               22     5     9     9     6  1405   191     6     6   -99       3
on                      22     5     2     2    25  1409   199     0     0   -19     417
causes                  22     5     6     6    34  1411   269     2     2    -9       6
crime                   22     5     5     5    47  1413   175     5     5   -13      13
chance                  22     5     6     6    59  1416   204     5     5   -12      11
break                   22     5     5     5    68  1418   184     4     4    -9       5
self-                   22     5     5     5    76  1420   170     1     1    -8       1
this                    22     5     4     4    74  1419   207     4     4     2     293
defeating               23     1     9     9     0  1421   222     0     0     0       1
sequence.               23     1     9     8    10  1422   197     0     0   -10       1
sequence.               23     1     9     8    15  1422   128     5     5    -5       1
Unfortunately,          23     1    14    13    33  1423   146    13    13   -18       2
Blair's                 23     1     7     7    42  1425   184     2     2    -9     -99
first                   23     1     5     5    48  1426    83     0     0    -6      87
first                   23     1     5     5    50  1426   243     2     2    -2      87
first                   23     1     5     5    50  1426    76     2     2     0      87
Home                    23     1     4     4    58  1427   259     4     4    -8      19
first                   23     1     5     5    51  1426   160     3     3     7      87
Secretary,              23     1    10     9    67  1428   143     8     8   -16      13
Straw,                  23     2     6     5     6  1430   221     6     6   -99       6
the                     23     2     3     3    17  1432   208     3     3   -11    3511
courage                 23     2     7     7    25  1433   180     7     7    -8       2
seize                   23     2     5     5    32  1435   150     3     3    -7       2
lacked                  23     2     6     6    11  1431   330     4     4    21       2
seize                   23     2     5     5    32  1435   188     3     3   -21       2
David                   23     2     5     5    44  1437   155     5     5   -12      12
is                      23     2     2     2    56  1439    79     2     2   -12     717
adventurous             23     2    11    11    65  1442   184     1     1    -9       2
figure                  23     3     6     6     4  1443   244     4     4   -99       6
some                    23     3     4     4    20  1446   187     3     3   -16      86
of                      23     3     2     2    28  1448   192     0     0    -8    1757
willing                 23     3     7     7    40  1450   205     3     3   -12       4
challenge               23     3     9     9    50  1452   190     2     2   -10       3
assumptions             23     3    11    11    63  1454   207     1     1   -13       2
of                      23     3     2     2    74  1455   122     0     0   -11    1757
past,                   23     4     5     4     5  1457   166     5     5   -99      27
past,                   23     4     5     4     3  1457   184     3     3     2      27
poses                   23     4     5     5    21  1461   215     2     2   -18       2
*Off-screen             23   -99     5     5   -99   -99   145   -99   -99   -99     -99
least                   23     4     5     5    71  1469   155     4     4   -99      26
he                      23     4     2     2    74  1470   198     1     1    -3     265
*Blink                  23   -99     2     2   -99   -99   229   -99   -99   -99     -99
often                   23     4     5     5    29  1463   243     0     0   -99      31
often                   23     4     5     5    29  1463    88     0     0     0      31
poses                   23     4     5     5    24  1461   224     5     5     5       2
unitive                 23     4     7     7    43  1466   218     0     0   -19       1
unitive                 23     4     7     7    50  1466   189     7     7    -7       1
poses                   23     4     5     5    24  1461   194     5     5    26       2
for                     23     4     3     3    35  1464   174     0     0   -11     519
the                     23     4     3     3    41  1465   213     2     2    -6    3511
unitive                 23     4     7     7    43  1466   639     0     0    -2       1
*Blink                  23   -99     7     7   -99   -99   115   -99   -99   -99     -99
for                     23     4     3     3    38  1464   249     3     3   -99     519
for                     23     4     3     3    36  1464   308     1     1     2     519
often                   23     4     5     5    32  1463   211     3     3     4      31
for                     23     4     3     3    36  1464   358     1     1    -4     519
*Blink                  23   -99     3     3   -99   -99   188   -99   -99   -99     -99
often                   23     4     5     5    33  1463   124     4     4   -99      31
for                     23     4     3     3    38  1464   191     3     3    -5     519
often                   23     4     5     5    29  1463   125     0     0     9      31
poses                   23     4     5     5    20  1461   203     1     1     9       2
but                     23     4     3     3     7  1458   183     1     1    13     325
*Off-screen             23   -99     3     3   -99   -99   247   -99   -99   -99     -99
poses                   23     4     5     5    20  1461   285     1     1   -99       2
too                     23     4     3     3    27  1462   181     2     2    -7      56
often                   23     4     5     5    32  1463   368     3     3    -5      31
often                   23     4     5     5    34  1463   517     5     5    -2      31
often                   23     4     5     5    32  1463   104     3     3     2      31
often                   23     4     5     5    34  1463   452     5     5    -2      31
often                   23     4     5     5    32  1463   401     3     3     2      31
for                     23     4     3     3    36  1464    73     1     1    -4     519
unitive                 23     4     7     7    43  1466    99     0     0    -7       1
gallery.                23     4     8     7    57  1467   372     6     6   -14       4
unitive                 23     4     7     7    49  1466   177     6     6     8       1
unitive                 23     4     7     7    46  1466   325     3     3     3       1
for                     23     4     3     3    36  1464   230     1     1    10     519
often                   23     4     5     5    32  1463   154     3     3     4      31
least                   23     4     5     5    69  1469   282     2     2   -37      26
least                   23     4     5     5    72  1469   182     5     5    -3      26
he                      23     4     2     2    75  1470    83     2     2    -3     265
difficulty              23     5    10    10    18  1474   207    10    10   -99       3
rejecting               23     5     9     9    28  1476   206     6     6   -10       1
demand                  23     5     6     6    40  1478   255     6     6   -12       2
Prison                  23     5     6     6    55  1481   254     5     5   -15      23
Association             23     5    11    11    69  1483   256     1     1   -14       5
Association             23     5    11    11    74  1483   215     6     6    -5       5
Governors'              23     5    10     9    62  1482   340     5     5    12       2
Prison                  23     5     6     6    56  1481   106     6     6     6      23
Prison                  23     5     6     6    53  1481   191     3     3     3      23
from                    23     5     4     4    44  1479   236     3     3     9     248
from                    23     5     4     4    42  1479   327     1     1     2     248
from                    23     5     4     4    44  1479   277     3     3    -2     248
*Off-screen             24   -99     4     4   -99   -99   230   -99   -99   -99     -99
take                    24     1     4     4     5  1485   208     2     2   -99      42
magistrates             24     1    11    11    19  1488   233     1     1   -14       1
altogether              24     1    10    10    32  1489   202     2     2   -13       3
magistrates             24     1    11    11    27  1488   235     9     9     5       1
the                     24     1     3     3    43  1490   206     2     2   -16    3511
power                   24     1     5     5    50  1491   192     5     5    -7      13
down                    24     1     4     4    60  1494   198     1     1   -10      38
custodial               24     1     9     9    65  1495   261     1     1    -5       3
sentences.              24     2    10     9     0  1496   141     0     0   -99       3
*Blink                  24   -99    10     9   -99   -99   122   -99   -99   -99     -99
he                      24     2     2     2    20  1499   243     0     0   -99     265
will                    24     2     4     4    19  1498    89     4     4     1     210
this                    24     2     4     4    28  1501   212     1     1    -9     293
crisis                  24     2     6     6    33  1502   232     1     1    -5      11
ask                     24     2     3     3    44  1504   158     2     2   -11      13
will                    24     2     4     4    18  1498   168     3     3    26     210
will                    24     2     4     4    15  1498   174     0     0     3     210
he                      24     2     2     2    22  1499   273     2     2    -7     265
ask                     24     2     3     3    43  1504   238     1     1   -21      13
deeper                  24     2     6     6    51  1505   175     5     5    -8       2
about                   24     2     5     5    64  1507   209     1     1   -13     164
so                      24     2     2     2    73  1509   134     0     0    -9     154
why                     24     2     3     3    69  1508   188     0     0     4      35
so                      24     2     2     2    74  1509   185     1     1    -5     154
*Off-screen             24   -99     2     2   -99   -99   126   -99   -99   -99     -99
are                     24     3     3     3     9  1512    55     2     2   -99     351
and                     24     3     3     3    23  1515   223     1     1   -14    1283
whether                 24     3     7     7    33  1516    84     7     7   -10      37
should                  24     3     6     6    40  1518   333     1     1    -7      88
*Off-screen             24   -99     6     6   -99   -99   156   -99   -99   -99     -99
prison,                 24     3     7     6    16  1514   190     2     2   -99      23
prison,                 24     3     7     6    20  1514   182     6     6    -4      23
*Off-screen             24   -99     7     6   -99   -99    94   -99   -99   -99     -99
causes                  24     3     6     6    67  1523   140     2     2   -99       6
*Off-screen             24   -99     6     6   -99   -99   184   -99   -99   -99     -99
*Off-screen             24   -99     6     6   -99   -99    99   -99   -99   -99     -99
causes                  24     3     6     6    67  1523   190     2     2   -99       6
*Off-screen             24   -99     6     6   -99   -99   131   -99   -99   -99     -99
*Off-screen             24   -99     6     6   -99   -99   238   -99   -99   -99     -99
population              24     4    10    10    21  1530   156     2     2   -99      11
past                    24     4     4     4    37  1533   223     0     0   -16      27
years                   24     4     5     5    49  1535   154     1     1   -12     104
been                    24     4     4     4    62  1537   168     4     4   -13     178
growth                  24     4     6     6    68  1539   105     1     1    -6      11
*Off-screen             24   -99     6     6   -99   -99   204   -99   -99   -99     -99
illegal                 24     5     7     7     6  1541   163     6     6   -99       2
with                    24     5     4     4    19  1544   235     1     1   -13     393
cocaine                 24     5     7     7    32  1546   190     3     3   -13       2
particular              24     5    10    10    41  1548   240     2     2    -9      13
problem.                24     5     8     7    51  1549   153     1     1   -10      24
This                    24     5     4     4    62  1550   235     3     3   -11     293
This                    24     5     4     4    59  1550   299     0     0     3     293
suggestion              25     1    10    10     0  1552   189     0     0     0       3
suggestion              25     1    10    10     4  1552   216     4     4    -4       3
shock                   25     1     5     5    16  1554   172     0     0   -12       3
tactics                 25     1     7     7    24  1555   210     2     2    -8       1
should                  25     1     6     6    36  1556    82     6     6   -12      88
*Blink                  25   -99     6     6   -99   -99   107   -99   -99   -99     -99
to                      25     1     2     2    47  1559   293     2     2   -99    1597
discourage              25     1    10    10    55  1560   227     7     7    -8       1
young                   25     1     5     5    63  1561   164     4     4    -8      43
people                  25     1     6     6    71  1562   188     6     6    -8      90
trying                  25     2     6     6     4  1564   217     4     4   -99      23
is                      25     2     2     2    14  1566   216     0     0   -10     717
the                     25     2     3     3    24  1568   281     3     3   -10    3511
the                     25     2     3     3    21  1568   225     0     0     3    3511
Information             25     2    11    11    37  1570   234     5     5   -16       6
important,              25     2    10     9    48  1572   229     1     1   -11      20
is                      25     2     2     2    45  1571   196     1     1     3     717
the                     25     2     3     3    62  1574   187     0     0   -17    3511
interplay               25     2     9     9    69  1575   221     3     3    -7       1
between                 25     3     7     7     5  1576   177     5     5   -99      42
desire                  25     3     6     6    17  1578   193     5     5   -12       3
escape                  25     3     6     6    27  1580   138     5     5   -10      10
than                    25     3     4     4    69  1587   182     2     2   -42     123
a                       25     3     1     1    72  1588   240     0     0    -3    1434
addiction               25     4     9     9    34  1593   182     4     4   -99       8
rather                  25     4     6     6    45  1594   198     5     5   -11      42
keeping                 25     4     7     7    59  1596   206     7     7   -14       1
keeping                 25     4     7     7    56  1596   142     4     4     3       1
addiction               25     4     9     9    32  1593   128     2     2    24       8
Medicalising            25     4    12    12    19  1592   177     2     2    13       1
model.                  25     4     6     5    14  1591   184     4     4     5       1
Pavlovian               25     4     9     9     9  1590   231     9     9     5       1
Medicalising            25     4    12    12    22  1592   198     5     5   -13       1
addiction               25     4     9     9    36  1593   193     6     6   -14       8
rather                  25     4     6     6    42  1594   188     2     2    -6      42
keeping                 25     4     7     7    52  1596   104     0     0   -10       1
criminal                25     4     8     8    73  1600   191     3     3   -21       6
criminal                25     4     8     8    72  1600   112     2     2     1       6
underworld              25     5    10    10     6  1601   240     6     6   -99       1
underworld              25     5    10    10     4  1601   517     4     4     2       1
underworld              25     5    10    10     7  1601   274     7     7    -3       1
the                     25     5     3     3    18  1603   172     0     0   -11    3511
best                    25     5     4     4    25  1604   355     3     3    -7      23
best                    25     5     4     4    24  1604   162     2     2     1      23
both                    25     5     4     4    35  1606   241     3     3   -11      25
controlling             25     5    11    11    40  1608   189     0     0    -5       1
both                    25     5     4     4    33  1606   146     1     1     7      25
hope                    25     5     4     4    29  1605   264     2     2     4      14
controlling             25     5    11    11    50  1608   223    10    10   -21       1
hard-drug               25     5     9     9    53  1609    82     1     1    -3     -99
hard-drug               25     5     9     9    60  1609   193     8     8    -7     -99
and                     25     5     3     3    66  1611   161     0     0    -6    1283
of                      25     5     2     2    70  1612   178     0     0    -4    1757
use                     25     5     3     3    64  1610   286     2     2     6      28
*Off-screen             25   -99     3     3   -99   -99   200   -99   -99   -99     -99
*Off-screen             25   -99     3     3   -99   -99   195   -99   -99   -99     -99
*Off-screen             25   -99     3     3   -99   -99   151   -99   -99   -99     -99
*Off-screen             25   -99     3     3   -99   -99   333   -99   -99   -99     -99
*Off-screen             25   -99     3     3   -99   -99   173   -99   -99   -99     -99
*Off-screen             25   -99     3     3   -99   -99   203   -99   -99   -99     -99
*Off-screen             25   -99     3     3   -99   -99   229   -99   -99   -99     -99
*Off-screen             25   -99     3     3   -99   -99   199   -99   -99   -99     -99
*Off-screen             25   -99     3     3   -99   -99   199   -99   -99   -99     -99
*Off-screen             25   -99     3     3   -99   -99   362   -99   -99   -99     -99
the                     26     1     3     3    10  1614   167     1     1     0    3511
effect                  26     1     6     6    14  1615   212     1     1    -4      12
on                      26     1     2     2    22  1616   201     2     2    -8     417
crime.                  26     1     6     5    25  1617   183     2     2    -3      13
*Off-screen             26   -99     6     5   -99   -99   271   -99   -99   -99     -99
people                  26     1     6     6    37  1619   139     0     0   -99      90
people                  26     1     6     6    42  1619   170     5     5    -5      90
have                    26     1     4     4    49  1621   217     1     1    -7     361
problems                26     1     8     8    55  1622   279     2     2    -6       7
with                    26     1     4     4    63  1623   200     1     1    -8     393
illegal                 26     1     7     7    67  1624   123     0     0    -4       2
alcohol                 26     2     7     7     9  1626   263     2     2   -99      11
or                      26     2     2     2    15  1627   162     0     0    -6     194
mental                  26     2     6     6    23  1628   206     5     5    -8       2
health                  26     2     6     6    29  1629   152     4     4    -6      12
were                    26     2     4     4    36  1630   137     4     4    -7     106
taken                   26     2     5     5    41  1631    84     4     4    -5      21
out                     26     2     3     3    45  1632   126     2     2    -4     113
of                      26     2     2     2    48  1633   116     1     1    -3    1757
our                     26     2     3     3    52  1634   141     2     2    -4      84
prisons,                26     2     8     7    54  1635   134     0     0    -2       5
prisons,                26     2     8     7    57  1635   147     3     3    -3       5
there                   26     2     5     5    64  1636   133     1     1    -7     189
would                   26     2     5     5    70  1637   200     1     1    -6     146
left.                   26     3     5     4    15  1641   242     1     1   -99      20
anyone                  26     3     6     6    13  1640   201     6     6     2       9
it                      26     3     2     2    27  1643   226     2     2   -14     544
comes                   26     3     5     5    32  1644   207     4     4    -5       8
to                      26     3     2     2    34  1645   290     0     0    -2    1597
When                    26     3     4     4    22  1642   205     2     2    12     144
left.                   26     3     5     4    16  1641   292     2     2     6      20
When                    26     3     4     4    20  1642   154     0     0    -4     144
left.                   26     3     5     4    14  1641   573     0     0     6      20
anyone                  26     3     6     6    13  1640    53     6     6     1       9
left.                   26     3     5     4    18  1641   210     4     4    -5      20
to                      26     3     2     2    35  1645   219     1     1   -17    1597
wider                   26     3     5     5    43  1647   155     2     2    -8       8
of                      26     3     2     2    55  1649   197     1     1   -12    1757
causes                  26     3     6     6    53  1648   224     6     6     2       6
wider                   26     3     5     5    42  1647   165     1     1    11       8
to                      26     3     2     2    36  1645   112     2     2     6    1597
comes                   26     3     5     5    31  1644   164     3     3     5       8
comes                   26     3     5     5    28  1644   124     0     0     3       8
wider                   26     3     5     5    44  1647   188     3     3   -16       8
causes                  26     3     6     6    50  1648   230     3     3    -6       6
causes                  26     3     6     6    49  1648   182     2     2     1       6
however,                26     3     8     7    65  1651   268     1     1   -16      38
causes                  26     3     6     6    49  1648   147     2     2    16       6
wider                   26     3     5     5    46  1647   200     5     5     3       8
work.                   26     5     5     4    69  1680   101     1     1   -99      32
work.                   26     5     5     4    71  1680   111     3     3    -2      32
places                  26     4     6     6    14  1656   138     5     5   -99       9
places                  26     4     6     6    12  1656   112     3     3     2       9
to                      26     4     2     2    18  1657   204     2     2    -6    1597
prison                  26     4     6     6    29  1660   168     1     1   -11      23
itself.                 26     4     7     6    36  1661   174     1     1    -7      17
itself.                 26     4     7     6    42  1661   157     7     7    -6      17
58                      26     4     2     2    50  1663   178     2     2    -8     -99
per                     26     4     3     3    53  1664   182     2     2    -3      36
of                      26     4     2     2    60  1666   187     0     0    -7    1757
inmates                 26     4     7     7    66  1667   191     3     3    -6       1
recorded                26     4     8     8    72  1668   156     1     1    -6       1
reoffending             26     5    11    11    10  1670   209     7     7   -99       2
two                     26     5     3     3    23  1672   300     1     1   -13      43
release,                26     5     8     7    36  1675   157     1     1   -13       4
prison                  26     5     6     6    44  1676   144     0     0    -8      23
clearly                 26     5     7     7    52  1677   190     1     1    -8      14
does                    26     5     4     4    59  1678   230     0     0    -7      45
not                     26     5     3     3    67  1679   225     3     3    -8     277
work.                   26     5     5     4    70  1680   112     2     2    -3      32
does                    26     5     4     4    61  1678   303     2     2     9      45
clearly                 26     5     7     7    57  1677   126     6     6     4      14
not                     26     5     3     3    65  1679   159     1     1    -8     277
work.                   26     5     5     4    71  1680   184     3     3    -6      32
work.                   26     5     5     4    71  1680    12     3     3     0      32
Secretary               27     1     9     9    18  1684   179     7     7     0      13
would                   27     1     5     5    21  1685   127     0     0    -3     146
would                   27     1     5     5    22  1685   419     1     1    -1     146
conclude                27     1     8     8    33  1686   260     6     6   -11       1
prison                  27     1     6     6    41  1688   182     0     0    -8      23
obviously               27     1     9     9    48  1689   189     0     0    -7       5
obviously               27     1     9     9    52  1689   170     4     4    -4       5
reinforces              27     1    10    10    59  1690   178     1     1    -7       2
reinforces              27     1    10    10    64  1690   173     6     6    -5       2
many                    27     1     4     4    71  1691   234     2     2    -7      81
crime.                  27     2     6     5    13  1696   163     3     3   -99      13
crime.                  27     2     6     5    11  1696   269     1     1     2      13
It                      27     2     2     2    18  1697   187     1     1    -7     544
up                      27     2     2     2    27  1699   247     0     0    -9     135
families                27     2     8     8    35  1700   244     5     5    -8       9
and                     27     2     3     3    42  1701   132     3     3    -7    1283
usually                 27     2     7     7    48  1702   227     5     5    -6       8
gives                   27     2     5     5    54  1703   218     3     3    -6       3
prisoners               27     2     9     9    60  1704   200     3     3    -6       8
nothing                 27     2     7     7    68  1705   146     1     1    -8      14
plan                    27     3     4     4    20  1710   206     2     2   -99       8
how                     27     3     3     3    26  1711   197     3     3    -6      59
to                      27     3     2     2    33  1713   231     2     2    -7    1597
caught                  27     3     6     6    39  1715   201     1     1    -6       4
to                      27     3     2     2    31  1713   227     0     0     8    1597
next                    27     3     4     4    49  1716   398     4     4   -18      35
All                     27     3     3     3    63  1718   173     3     3   -14     167
parties                 27     3     7     7    69  1719    99     5     5    -6       3
not                     27     5     3     3    65  1746   183     1     1   -99     277
parties                 27     3     7     7    64  1719   226     0     0   -99       3
report                  27     4     6     6    14  1723   166     4     4   -99       7
report                  27     4     6     6    11  1723   170     1     1     3       7
report                  27     4     6     6    15  1723   182     5     5    -4       7
1991,                   27     4     5     4    21  1725   153     1     1    -6     -99
yet                     27     4     3     3    26  1726   229     0     0    -5      49
has                     27     4     3     3    35  1728   160     0     0    -9     239
acted                   27     4     5     5    44  1729   215     5     5    -9       1
to                      27     4     2     2    52  1732   173     1     1    -8    1597
it                      27     4     2     2    50  1731   126     2     2     2     544
improve                 27     4     7     7    58  1733   104     4     4    -8       2
the                     27     4     3     3    65  1734    81     3     3    -7    3511
education               27     4     9     9    69  1735   188     3     3    -4      17
in                      27     5     2     2    10  1737   256     2     2   -99    1091
prison.                 27     5     7     6    16  1738   164     5     5    -6      23
schoolchildren          27     5    14    14    28  1740   204     6     6   -12       2
schoolchildren          27     5    14    14    33  1740   504    11    11    -5       2
have                    27     5     4     4    43  1742   195     2     2   -10     361
coaches,                27     5     8     7    52  1744   142     1     1    -9       1
coaches,                27     5     8     7    55  1744   163     4     4    -3       1
not                     27     5     3     3    64  1746   292     0     0    -9     277
prisoners?              27     5    10     9    68  1747   223     0     0    -4       8
coaches,                27     5     8     7    58  1744    71     7     7    10       1
*Blink                  27   -99     8     7   -99   -99   143   -99   -99   -99     -99
prison.                 27     5     7     6    18  1738   193     7     7   -99      23
schoolchildren          27     5    14    14    24  1740   306     2     2    -6       2
schoolchildren          27     5    14    14    34  1740   117    12    12   -10       2
can                     27     5     3     3    38  1741   143     1     1    -4     123
life                    27     5     4     4    48  1743   228     2     2   -10      56
