WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  LAUN    TXFR                                            
ashore                   3     5     6     6    76   196   123     4     4   -99       3
ashore                   3     5     6     6    75   196   243     3     3     1       3
we                       3     5     2     2    61   193   203     1     1    14     179
year,                    3     5     5     4    50   191   240     0     0    11      51
days                     3     5     4     4    40   188   173     2     2    10      28
year,                    3     5     5     4    53   191   439     3     3   -13      51
*Blink                   3   -99     5     4   -99   -99    66   -99   -99   -99     -99
*Off-screen              3   -99     5     4   -99   -99    64   -99   -99   -99     -99
come                     3     5     4     4    70   195    61     3     3   -99      37
had                      3     5     3     3    64   194   153     1     1     6     130
ashore                   3     5     6     6    76   196   444     4     4   -12       3
scramble                 4     1     8     8     3   198   188     0     0     0     -99
scramble                 4     1     8     8     7   198   153     4     4    -4     -99
rough                    4     1     5     5    22   201   170     0     0   -15       2
dark                     4     1     4     4    28   202   150     0     0    -6       2
round                    4     1     5     5    16   199   212     4     4    12      11
dark                     4     1     4     4    30   202    61     2     2   -14       2
*Blink                   4   -99     4     4   -99   -99   117   -99   -99   -99     -99
lava                     4     1     4     4    35   203   351     2     2   -99     -99
rough                    4     1     5     5    26   201   296     4     4     9       2
dark                     4     1     4     4    31   202   217     3     3    -5       2
lava                     4     1     4     4    36   203   188     3     3    -5     -99
rocks                    4     1     5     5    41   204   170     3     3    -5       1
Punta                    4     1     5     5    49   206   401     2     2    -8       1
Espinosa                 4     1     8     8    53   207   181     0     0    -4       1
Punta                    4     1     5     5    49   206   256     2     2     4       1
Espinosa                 4     1     8     8    57   207   210     4     4    -8       1
Espinosa                 4     1     8     8    55   207   252     2     2     2       1
Espinosa                 4     1     8     8    57   207   223     4     4    -2       1
Espinosa                 4     1     8     8    55   207   396     2     2     2       1
Espinosa                 4     1     8     8    56   207   224     3     3    -1       1
Espinosa                 4     1     8     8    58   207   482     5     5    -2       1
Espinosa                 4     1     8     8    61   207   146     8     8    -3       1
the                      4     1     3     3    66   209   189     1     1    -5    3511
island.                  4     1     7     6    72   210   148     3     3    -6       8
island.                  4     1     7     6    76   210   176     7     7    -4       8
golden                   4     2     6     6     6   213   227     2     2   -99       7
afternoon                4     2     9     9    13   214   101     2     2    -7       4
